Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
438,Brisingr,Christopher Paolini,4.1,398804,9780375826726,0375826726,"Genres, Fantasy, Young Adult, Fiction, Dragons, Adventure, Magic, High Fantasy",The Inheritance Cycle #3,748,Hardcover
439,A Separate Peace,John Knowles,3.6,226971,Not found,Not found,"Genres, Classics, Fiction, Historical Fiction, School, Young Adult, Coming Of Age, High School",,208,Paperback
440,Steppenwolf,Hermann Hesse,4.13,201227,9780140282580,0140282580,"Genres, Fiction, Classics, Philosophy, German Literature, Literature, Novels, Germany",,256,Paperback
441,Beautiful Creatures,Kami Garcia,3.77,613053,9780316042673,0316042676,"Genres, Fantasy, Young Adult, Romance, Paranormal, Fiction, Magic, Supernatural","Caster Chronicles, #1",563,Hardcover
442,The BFG,Roald Dahl,4.23,507685,9780141311371,0141311371,"Genres, Fantasy, Childrens, Fiction, Middle Grade, Young Adult, Humor, Adventure",,199,Paperback
443,Obsidian,Jennifer L. Armentrout,4.13,290965,Not found,Not found,"Genres, Young Adult, Fantasy, Romance, Paranormal, Aliens, Science Fiction, Paranormal Romance","Lux, #1",335,Paperback
444,Robinson Crusoe,Daniel Defoe,3.68,320298,Not found,B0DSZQ4G7H,"Genres, Fiction, Classics, Adventure, Literature, Historical Fiction, Novels, 18th Century",,320,Hardcover
445,Red Queen,Victoria Aveyard,3.99,1105466,9780062310637,0062310631,"Genres, Young Adult, Dystopia, Romance, Fiction, Young Adult Fantasy, Audiobook, Magic","Red Queen, #1",388,Hardcover
446,Hidden Pictures,Jason Rekulak,4.16,447917,9781250819345,1250819342,"Genres, Horror, Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Paranormal",,372,Hardcover
447,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,3.92,1320116,9781594744761,1594744769,"Genres, Fantasy, Young Adult, Fiction, Paranormal, Mystery, Horror, Historical Fiction","Miss Peregrine's Peculiar Children, #1",352,Hardcover
448,Stargirl,Jerry Spinelli,3.77,332342,9780439488402,0439488400,"Genres, Young Adult, Fiction, Contemporary, Romance, Realistic Fiction, Middle Grade, Childrens","Stargirl, #1",186,Paperback
449,Room,Emma Donoghue,4.08,821134,Not found,B003YFIUW8,"Genres, Fiction, Contemporary, Thriller, Adult Fiction, Audiobook, Book Club, Crime",,321,Kindle Edition
450,The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,207938,9780312282998,B007C4D1G2,"Genres, Fiction, Historical Fiction, Novels, Literary Fiction, Literature, Historical, Contemporary",,639,Paperback
451,Where the Crawdads Sing,Delia Owens,4.38,3376781,9780735219113,0735219117,"Genres, Fiction, Historical Fiction, Mystery, Audiobook, Romance, Contemporary, Historical",,384,ebook
452,The Remains of the Day,Kazuo Ishiguro,4.14,333031,Not found,Not found,"Genres, Fiction, Historical Fiction, Classics, Literary Fiction, Historical, Literature, Novels",,258,Paperback
453,The Amber Spyglass,Philip Pullman,4.1,372702,9780440238157,0440238153,"Genres, Fantasy, Young Adult, Fiction, Adventure, Audiobook, Science Fiction, Childrens","His Dark Materials, #3",465,Mass Market Paperback
454,City of Heavenly Fire,Cassandra Clare,4.38,403201,9781481426305,1481426303,"Genres, Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Vampires, Fiction","The Mortal Instruments, #6",725,Hardcover
455,زندگی مه آلود پریا,سید مرتضی مصطفوی,3.34,1031,9786007072714,6007072711,"Genres, Fiction",,204,ebook
456,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.16,193523,Not found,B0DSZLN57Y,"Genres, Fiction, Historical Fiction, Westerns, Classics, Horror, Literature, Novels",,351,Paperback
457,Circe,Madeline Miller,4.23,1217108,9780316556347,0316556343,"Genres, Fantasy, Fiction, Mythology, Historical Fiction, Greek Mythology, Audiobook, Retellings",,393,Hardcover
458,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.78,238678,9780060589462,0060589469,"Genres, Philosophy, Fiction, Classics, Spirituality, Travel, Psychology, Self Help","Phaedrus, #1",540,Mass Market Paperback
459,The Firm,Robin Waterfield,4.06,633429,9780582418271,0582418275,"Genres, Fiction, Thriller, Mystery, Crime, Suspense, Mystery Thriller, Legal Thriller",,76,Paperback
460,The Plague,Albert Camus,4.02,291160,Not found,B0DSZTSVB9,"Genres, Fiction, Classics, Philosophy, France, Literature, French Literature, Novels",,308,Paperback
461,Doctor Zhivago,Boris Pasternak,4.01,99986,9780679774389,0679774386,"Genres, Fiction, Historical Fiction, Russia, Russian Literature, Classics, Romance, Literature",,592,Paperback
462,Dear John,Nicholas Sparks,4.04,610444,9780446528054,0446528056,"Genres, Romance, Fiction, Chick Lit, Contemporary, Contemporary Romance, Young Adult, Adult Fiction",,276,Hardcover
463,Coraline,Neil Gaiman,4.13,746739,9780061139376,0061139378,"Genres, Fantasy, Horror, Fiction, Young Adult, Middle Grade, Childrens, Audiobook",,176,Paperback
464,The English Patient,Michael Ondaatje,3.86,136025,9780771068713,0771068719,"Genres, Fiction, Historical Fiction, Classics, Romance, War, Historical, Canada",,320,Hardcover
465,Midnight’s Children,Salman Rushdie,3.98,129100,9780099578512,0099578514,"Genres, Fiction, Magical Realism, Classics, India, Historical Fiction, Fantasy, Literature",,647,Paperback
466,The Last Song,Nicholas Sparks,4.16,565019,9780446547567,B0046NN9AU,"Genres, Romance, Fiction, Young Adult, Contemporary, Chick Lit, Drama, Contemporary Romance",,390,Paperback
467,A Court of Mist and Fury,Sarah J. Maas,4.64,2742893,9781635575583,1635575583,"Genres, Fantasy, Romance, Romantasy, Young Adult, Fiction, New Adult, Fae","A Court of Thorns and Roses, #2",626,Paperback
468,All the Bright Places,Jennifer Niven,4.12,604253,9780385755887,0385755880,"Genres, Young Adult, Romance, Contemporary, Fiction, Mental Health, Realistic Fiction, Mental Illness",,388,Hardcover
469,Like Water for Chocolate,Laura Esquivel,3.95,382296,Not found,Not found,"Genres, Fiction, Magical Realism, Romance, Historical Fiction, Classics, Fantasy, Spanish Literature",,222,Paperback
470,Crescendo,Becca Fitzpatrick,3.98,332266,9781416989431,1416989439,"Genres, Young Adult, Fantasy, Romance, Angels, Paranormal, Paranormal Romance, Fiction","Hush, Hush, #2",427,Hardcover
471,Dragonfly in Amber,Diana Gabaldon,4.34,373140,Not found,B0DSY9RH6K,"Genres, Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance","Outlander, #2",947,Paperback
472,Crown of Midnight,Sarah J. Maas,4.36,1452603,9781619630628,1619630621,"Genres, Young Adult, Romance, Fiction, Magic, Romantasy, Young Adult Fantasy, High Fantasy","Throne of Glass, #2",420,Hardcover
473,Midnight in the Garden of Good and Evil,John Berendt,3.92,284397,9780679751526,0679751521,"Genres, Nonfiction, True Crime, Mystery, Crime, History, Classics, Audiobook",,386,Paperback
474,A Streetcar Named Desire,Tennessee Williams,3.98,327489,9780822210894,0822210894,"Genres, Plays, Classics, Fiction, Drama, School, Read For School, Literature",,107,Paperback
475,My Ántonia,Willa Cather,3.84,142916,9781583485095,1583485090,"Genres, Fiction, Historical Fiction, Classics, Literature, School, American, Historical",,219,Paperback
476,The One,Kiera Cass,4.14,741238,9780062059994,0062059998,"Genres, Romance, Young Adult, Dystopia, Fantasy, Fiction, Audiobook, Science Fiction","The Selection, #3",323,Hardcover
477,The Invisible Life of Addie LaRue,Victoria E. Schwab,4.18,1308636,9780765387561,0765387565,"Genres, Fantasy, Fiction, Romance, Historical Fiction, Historical, Magical Realism, LGBT",,448,Hardcover
478,Local Woman Missing,Mary Kubica,4.13,629481,9780778311669,077831166X,"Genres, Thriller, Mystery, Mystery Thriller, Audiobook, Fiction, Suspense, Crime",,356,Paperback
479,Breakfast of Champions,Kurt Vonnegut Jr.,4.06,271423,9780385334204,0385334206,"Genres, Fiction, Classics, Science Fiction, Humor, Literature, Novels, American",,303,Paperback
480,Breakfast at Tiffany’s and Three Stories,Truman Capote,3.84,282197,Not found,Not found,"Genres, Fiction, Short Stories, Classics, Romance, Audiobook, American, Literature",,142,Paperback
481,The Prince,Niccolò Machiavelli,3.84,362710,9780937832387,0937832383,"Genres, Philosophy, Nonfiction, Politics, History, Political Science, Literature, Italy",,144,Paperback
482,The Subtle Knife,Philip Pullman,4.15,448969,Not found,B00SSJYF8S,"Genres, Fantasy, Young Adult, Fiction, Audiobook, Childrens, Adventure, Science Fiction","His Dark Materials, #2",370,Kindle Edition
483,The Virgin Suicides,Jeffrey Eugenides,3.79,381025,9780747560593,0747560595,"Genres, Fiction, Young Adult, Literary Fiction, Coming Of Age, Mental Health, Contemporary, Novels",,250,Paperback
484,The Origin of Species,Charles Darwin,4.01,118809,Not found,Not found,"Genres, Science, Nonfiction, Classics, Biology, Evolution, History, Philosophy",,703,Hardcover
485,Daughter of Smoke & Bone,Laini Taylor,3.99,379088,9780316134026,0316134023,"Genres, Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Angels, Fiction","Daughter of Smoke & Bone, #1",418,Hardcover
486,A Fine Balance,Rohinton Mistry,4.38,154810,9781400030651,140003065X,"Genres, Fiction, Historical Fiction, India, Indian Literature, Literary Fiction, Historical, Asia",,603,Paperback
487,Hopeless,Colleen Hoover,4.23,640894,9781301949823,B08GWTKXCP,"Genres, Romance, New Adult, Young Adult, Contemporary, Fiction, Contemporary Romance, Abuse","Hopeless, #1",410,Kindle Edition
488,Queen of Shadows,Sarah J. Maas,4.62,1142321,9781619636040,1619636042,"Genres, Young Adult, Romance, Fiction, Fae, Magic, Romantasy, Young Adult Fantasy","Throne of Glass, #4",648,Hardcover
489,"Red, White & Royal Blue",Casey McQuiston,4.06,1140209,9781250316776,1250316774,"Genres, Romance, LGBT, Contemporary, Fiction, Queer, Young Adult, Enemies To Lovers",,448,Paperback
490,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.39,977692,9781400064168,1400064163,"Genres, Nonfiction, History, Biography, World War II, War, Historical, Audiobook",,475,Hardcover
491,Infinite Jest,David Foster Wallace,4.25,96922,Not found,Not found,"Genres, Fiction, Classics, Literature, Novels, Contemporary, Humor, Literary Fiction",,1088,Paperback
492,A Feast for Crows,George R.R. Martin,4.17,766454,9780553582024,B005JV4KFG,"Genres, Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy, Audiobook, Dragons","A Song of Ice and Fire, #4",1060,Mass Market Paperback
493,Death of a Salesman,Arthur Miller,3.58,248305,9780435233075,0435233076,"Genres, Classics, Plays, Fiction, Drama, School, Theatre, Literature",,144,Hardcover
494,Carrie,Stephen King,3.99,793640,9781416524304,1416524304,"Genres, Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Supernatural",,272,Mass Market Paperback
495,Flowers in the Attic,V.C. Andrews,3.85,227705,9780743496315,B000FCSIOS,"Genres, Fiction, Horror, Young Adult, Classics, Gothic, Mystery, Thriller","Dollanganger, #1",389,Paperback
496,Pippi Longstocking,Astrid Lindgren,4.15,205101,9780142402498,0142402494,"Genres, Classics, Childrens, Fiction, Middle Grade, Fantasy, Young Adult, Humor","Pippi Långstrump, #1",160,Mass Market Paperback
497,The Hate U Give,Angie Thomas,4.46,966573,9780062498533,0062498533,"Genres, Young Adult, Fiction, Contemporary, Audiobook, Realistic Fiction, Race, Social Justice","The Hate U Give, #1",454,Hardcover
498,Evermore,Alyson Noel,3.59,295741,9780312532758,031253275X,"Genres, Young Adult, Fantasy, Paranormal, Romance, Paranormal Romance, Fiction, Supernatural","The Immortals, #1",301,Paperback
499,We Were Liars,E. Lockhart,3.66,1236013,9780385741279,0385741278,"Genres, Young Adult, Mystery, Fiction, Contemporary, Romance, Thriller, Mystery Thriller",,242,Kindle Edition
500,The Scarlet Pimpernel,Emmuska Orczy,4.07,138835,9781576469231,1576469239,"Genres, Classics, Historical Fiction, Fiction, Adventure, Historical, Mystery, France",,182,Paperback
501,The Nightingale,Kristin Hannah,4.64,1743746,9780312577223,0312577222,"Genres, Historical Fiction, Fiction, Historical, Audiobook, World War II, War, Romance",,564,Hardcover
502,I Know Why the Caged Bird Sings,Maya Angelou,4.3,557511,9780553279375,B00P4JQBIC,"Genres, Nonfiction, Classics, Memoir, Biography, Autobiography, Poetry, Feminism","Maya Angelou's Autobiography, #1",289,Paperback
503,The Host,Stephenie Meyer,3.86,1032867,9780316068048,0316068047,"Genres, Fantasy, Young Adult, Science Fiction, Romance, Fiction, Dystopia, Paranormal","The Host, #1",619,Hardcover
504,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,,725687,9780609608449,0609608444,"Genres, Nonfiction, History, True Crime, Crime, Historical, Mystery, Audiobook",,464,Hardcover
505,Persuasion,Jane Austen,4.15,738884,9780192802637,0192802631,"Genres, Fiction, Classics, Historical Fiction, Audiobook, Historical, Literature, 19th Century",,249,Paperback
506,Jonathan Strange & Mr Norrell,Susanna Clarke,3.87,246040,Not found,Not found,"Genres, Fantasy, Fiction, Historical Fiction, Historical, Magic, Audiobook, Science Fiction Fantasy",,1006,Paperback
507,The Raven Boys,Maggie Stiefvater,4.05,388254,9780545424929,0545424925,"Genres, Fantasy, Young Adult, Paranormal, Romance, Fiction, Audiobook, Urban Fantasy","The Raven Cycle, #1",409,Hardcover
508,Snow Flower and the Secret Fan,Lisa See,4.09,380134,Not found,B000FCK71U,"Genres, Historical Fiction, Fiction, China, Historical, Book Club, Asian Literature, Adult Fiction",,288,Kindle Edition
509,Artemis Fowl,Eoin Colfer,3.86,555874,Not found,Not found,"Genres, Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Science Fiction, Adventure","Artemis Fowl, #1",396,Paperback
509,Sharp Objects,Gillian Flynn,4.01,1148397,9780297851530,0297851535,"Genres, Mystery, Thriller, Fiction, Mystery Thriller, Crime, Audiobook, Suspense",,254,Paperback
511,Anna and the French Kiss,Stephanie Perkins,3.96,460405,9780525423270,0525423273,"Genres, Romance, Young Adult, Contemporary, Fiction, Chick Lit, Realistic Fiction, Contemporary Romance","Anna and the French Kiss, #1",372,Hardcover
512,Northanger Abbey,Jane Austen,3.85,429190,9781593082642,1593082649,"Genres, Classics, Fiction, Gothic, Historical Fiction, Literature, Audiobook, Historical",,260,Paperback
,A Game of Thrones,George R. R. Martin,4.5,,,,Fiction,,876,paperback
,The Invisible Man,"Len Jenkin, Herbert George Wells",,,9780871299840,,Drama,,78,paperback
,Crime and Punishment,Fyodor Dostoyevsky,,,,,Fiction,,520,paperback
,Cards on the Table,Agatha Christie,,,9780006162810,,Fiction,,228,paperback
,4.50 from Paddington,Agatha Christie,,,9780006157625,,Fiction,,228,paperback
,The House at Riverton,Kate Morton,3.0,,9781416550532,,Fiction,,496,paperback
,A Murder is Announced,Agatha Christie,,,9780553350401,,Fiction,,244,paperback
,The Curious Incident of the Dog in the Night-time,Mark Haddon,4.5,,,,Fiction,,288,paperback
,The Redbreast,Jo Nesbo,,,9780061133992,,Fiction,,532,paperback
,The Peculiar Pumpkin Thief,Geronimo Stilton,4.5,,9780545103725,,Juvenile Fiction,,130,paperback
,My Name is Red,Orhan Pamuk,,,9780571200474,,Art,,417,paperback
,The Black Tower,P.D. James,,,9780743219617,,Fiction,,352,paperback
,The Shape of Water,Andrea Camilleri,4.0,,,,Fiction,,240,paperback
,And Then There Were None,Agatha Christie,4.0,,9780312979478,,Fiction,,294,paperback
,The Night Manager,John Le Carré,3.5,,9780345385765,,Fiction,,484,paperback
,The ABC Murders,Agatha Christie,,,9780006167242,,"Detective and mystery stories, English",,224,paperback
,Blessed Are Those Who Thirst,Anne Holt,,,9781451634785,,Fiction,,232,paperback
,Evil Under the Sun,Agatha Christie,,,,,Fiction,,282,paperback
,The Golden Ball and Other Stories,Agatha Christie,,,9780553350654,,Fiction,,260,paperback
,The Surgeon,Tess Gerritsen,,,9780786235742,,Fiction,,530,paperback
,The Da Vinci Code,Dan Brown,5.0,,9780593054253,,Art museum curators,,484,paperback
,The Mirror Crack'd from Side to Side,Agatha Christie,5.0,,,,Fiction,,264,paperback
,A Dangerous Fortune,Ken Follett,,,9780333580318,,Detective and mystery stories,,434,paperback
,The Road to Gandolfo,Robert Ludlum,,,9780553271096,,Fiction,,322,paperback
,Hercule Poirot's Christmas,Agatha Christie,,,9780708917244,,Fiction,,384,paperback
,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,,,,,Fiction,,240,paperback
,True Evil,Greg Iles,,,9781416524533,,Fiction,,672,paperback
,"Loves Music, Loves to Dance",Mary Higgins Clark,5.0,,9780671758899,,Fiction,,339,paperback
,The Mystery of Edwin Drood,Charles Dickens,,,,,Fiction,,328,paperback
,What Mrs. McGillicuddy Saw!,Agatha Christie,,,9780671556457,,Fiction,,264,paperback
,Paper Money,Ken Follett,4.0,,9780451159045,,Fiction,,260,paperback
,Tuesday,David Wiesner,3.0,,9780395870822,,Juvenile Fiction,,36,paperback
,Cover Her Face,P. D. James,,,,,Fiction,,276,paperback
,Missing Joseph,Elizabeth George,4.0,,9780553566048,,Fiction,,612,paperback
,The Runaway Jury,John Grisham,3.0,,9780440221470,,Fiction,,568,paperback
,Contest,Matthew Reilly,4.5,,9780312990046,,Fiction,,452,paperback
,"""A"" is for Alibi",Sue Grafton,,,9780553279917,,Fiction,,238,paperback
,From Doon with Death,Ruth Rendell,,,9781405685306,,Detective and mystery stories,,184,paperback
,The Harlequin Tea Set and Other Stories,Agatha Christie,4.0,,9780425165157,,Fiction,,228,paperback
,Problem at Pollensa Bay,Agatha Christie,,,9780708986899,,Detective and mystery stories,,240,paperback
,Five on Kirrin Island Again,Enid Blyton,5.0,,9780340548806,,Criminals,,153,paperback
,"Mr. Parker Pyne, Detective",Agatha Christie,,,9780553350616,,Detective and mystery stories,,214,paperback
,The Black Opal,"Eleanor Burford Hibbert, Victoria Holt",,,9780449222713,,Fiction,,388,paperback
,The Girl with the Dragon Tattoo,"Stieg Larsson, Reg Keeland (translator.)",3.0,,9781849163828,,Computer hackers,,532,paperback
,The Messenger,Markus Zusak,5.0,,9780330363884,,Fiction,,400,paperback
,The Mysterious Mr Quin,Agatha Christie,,,,,Fiction,,264,paperback
,George's Secret Key to the Universe,"Lucy Hawking, Stephen Hawking, Christophe Galfard",,,9780385611817,,Adventure and adventurers,,360,paperback
,Why Didn't They Ask Evans?,Agatha Christie,,,9780002318846,,Detective and mystery stories,,216,paperback
,Cat Among the Pigeons,Agatha Christie,,,9780006161745,,Boarding schools,,224,paperback
,The Redeemer,Jo Nesbø,,,9780099505969,,Fiction,,578,paperback
,Angels and Demons,Dan Brown,,,9780593054864,,Anti-Catholicism,,536,paperback
,The Secret of Father Brown,Gilbert Keith Chesterton,,,,,Fiction,,188,paperback
,The Big Four,Agatha Christie,5.0,,9780006169185,,Detective and mystery stories,,221,paperback
,By the Pricking of My Thumbs,Agatha Christie,,,9780006165705,,"Beresford, Tommy (Fictitious character)",,224,paperback
,Cry Wolf,Wilbur Smith,4.0,,9780312982584,,Fiction,,484,paperback
,Diamonds are Forever,Ian Fleming,,,,,British,,270,paperback
,Skin Privilege,Karin Slaughter,,,9780099553120,,Fiction,,578,paperback
,Death Comes as the End,Agatha Christie,,,9780006163732,,Detective and mystery stories,,219,paperback
,The Case of the Creative Crime,Carolyn Keene,,,9780743437486,,Artist colonies,,166,paperback
,The Clocks,Agatha Christie,,,9780854566662,,Fiction,,416,paperback
,Still Life,Louise Penny,,,9780312948559,,Fiction,,322,paperback
,Waiting for Wednesday,Nicci French,,,9780670015771,,Fiction,,372,paperback
,Déjà Dead,Kathy Reichs,,,9780099574859,,Fiction,,548,paperback
,Death on the Nile,Agatha Christie,,,9780006153566,,English fiction,,222,paperback
,The Angel of Darkness,Caleb Carr,,,9780345427632,,Fiction,,772,paperback
,Archer's Goon,Diana Wynne Jones,,,9780749709099,,mystery,,240,paperback
,The Rottweiler,Ruth Rendell,,,,,Fiction,,360,paperback
,Stop the Clock,Carolyn Keene,4.0,,9780689873362,,Juvenile Fiction,,164,paperback
,Appointment with death,Agatha Christie,,,,,mystery,,206,paperback
,Five Go Off to Camp,Enid Blyton,,,9780340765203,,Children's stories,,201,paperback
,Where Are You Now?,Mary Higgins Clark,,,9781416570882,,Fiction,,372,paperback
,The Hound of the Baskervilles,Arthur Conan Doyle,,,9780590702300,,Detective and mystery stories,,178,paperback
,Moby Dick. Con CD,Herman Melville,,,9788853006103,,Education,,128,paperback
,"Good Morning, Midnight",Reginald Hill,,,9780770429430,,"Dalziel, Andrew (Fictitious character)",,544,paperback
,The Naming of the Dead,Ian Rankin,3.5,,,,Fiction,,438,paperback
,A Caribbean Mystery,Agatha Christie,,,,,Caribbean Area,,157,paperback
,Brother Odd,Dean Ray Koontz,4.5,,9780553589108,,Abandoned children,,466,paperback
,Fractured,Karin Slaughter,,,9780099538592,,Abused wives,,530,paperback
,Crooked House,Agatha Christie,,,9780006751298,,mystery,,188,paperback
,Blood Price,Tanya Huff,,,9780756408404,,Fiction,,274,paperback
,The labours of Hercules,Agatha Christie,,,9780006141969,,Mystery,,256,paperback
,Purr-fect Crime,"Martin Harry Greenberg, Carol-Lynn Rossel Waugh, Isaac Asimov",,,9781567310849,,Fiction,,296,paperback
,The Girl on the Train,Paula Hawkins,,,9780750542234,,Commuters,,408,paperback
,Bitter Medicine,Sara Paretsky,,,9780345347220,,Fiction,,276,paperback
,Ordeal by Innocence,Agatha Christie,,,9780006170679,,Detective and mystery stories,,192,paperback
,Call for the Dead,John Le Carré,4.0,,,,Fiction,,172,paperback
,The Full Cupboard of Life,Alexander McCall Smith,,,9780954407506,,Botswana,,202,paperback
,A Time to Kill,John Grisham,4.0,,9780440211723,,Fiction,,532,paperback
,Longshot,Dick Francis,,,9780399135811,,Fiction,,324,paperback
,The Art Thief,Noah Charney,,,9781416563006,,Art thefts,,290,paperback
,London Match,Len Deighton,4.0,,9780345332684,,Fiction,,452,paperback
,Second Wind,Dick Francis,,,9780515129236,,Fiction,,276,paperback
,Confessor,Terry Goodkind,,,9780007250820,,Fiction,,609,paperback
,A Pocket Full of Rye,Agatha Christie,,,9780708910665,,Fiction,,335,paperback
,Secret Seven Mystery,Enid Blyton,,,,,Mystery,,120,paperback
,Wilful Behaviour,Donna Leon,,,9780099415183,,"Brunetti, Guido (Fictitious character)",,372,paperback
,The Secret in the Old Lace,Carolyn Keene,,,9780671690670,,Juvenile Fiction,,180,paperback
,Seven Up,Janet Evanovich,4.0,,9780312980146,,Fiction,,372,paperback
,Hard News,Jeffery Deaver,,,9780553583298,,Fiction,,291,paperback
,The Golden Spiders,Rex Stout,,,,,Fiction,,202,paperback
,The Teen Model Mystery,Carolyn Keene,5.0,,9780671872083,,Juvenile Fiction,,164,paperback
,The Mystery of the Missing Necklace,Enid Blyton,4.0,,9781405203975,,Adventure fiction,,217,paperback
,The adventure of the Christmas pudding,Agatha Christie,,,9780006140764,,Mystery,,224,paperback
,SCOOB! Junior Novelization (Scooby-Doo),David Lewman,,,9780593178546,,Juvenile Fiction,,145,paperback
,The Secret of Chimneys,Agatha Christie,,,9782830208498,,Large type books,,435,paperback
,Payment in Blood,Elizabeth George,3.5,,9780553284362,,Fiction,,374,paperback
,Body of Evidence,Patricia Cornwell,,,9780751505122,,Detective and mystery stories,,387,paperback
,The Murder at the Vicarage,Agatha Christie,,,9780907486398,,Mystery,,380,paperback
,The Big Sleep,Raymond Chandler,,,,,Los Angeles (Calif.),,220,paperback
,Riverboat Ruse,Carolyn Keene,,,9780689873355,,Juvenile Fiction,,166,paperback
,The Secret of the Wooden Lady,Carolyn Keene,,,,,JUVENILE FICTION,,196,paperback
,Hardy Boys 06: the Shore Road Mystery,Franklin W. Dixon,2.5,,,,Juvenile Fiction,,210,paperback
,"Merry Christmas, Alex Cross",James Patterson,,,9780316224192,,Fiction,,432,paperback
,Strangers in Death,J. D. Robb,,,9780749938833,,Businessmen,,368,paperback
,The Man Who Was Thursday,G. K. Chesterton,,,9780881842258,,Fiction,,196,paperback
,Sparkling Cyanide,Agatha Christie,,,9780006162636,,England,,238,paperback
,Bloodline,Sidney Sheldon,,,9780446812054,,mystery,,460,paperback
,Mystery of the Ivory Charm,Carolyn Keene,5.0,,9780448195131,,Juvenile Fiction,,202,paperback
,The Case of the Bizarre Bouquets,Nancy Springer,,,9780142413906,,Juvenile Fiction,,170,paperback
,"Full Dark, No Stars",Stephen King,3.0,,9781602859463,,Fiction,,590,paperback
,"""C"" is for Corpse",Sue Grafton,,,9780553280364,,Fiction,,228,paperback
,Ghost Stories (Nancy Drew ),Carolyn Keene,5.0,,9780671691325,,Juvenile Fiction,,166,paperback
,Hide,Lisa Gardner,,,9781585479245,,Fiction,,455,paperback
,Double Sin and Other Stories,Agatha Christie,,,9780816145423,,Fiction,,297,paperback
,The Seventh Function of Language,Laurent Binet,,,9780374261566,,Fiction,,369,paperback
,Plum Lovin',Janet Evanovich,,,9780312985363,,Fiction,,292,paperback
,The Assassin's Blade,Sarah J. Maas,5.0,,9781408851982,,Juvenile Fiction,,465,paperback
,The Wind in the Willows,Kenneth Grahame,4.5,,9781853261220,,Juvenile Fiction,,202,paperback
,Peter Pan,James Matthew Barrie,,,9781402754265,,Fiction,,164,paperback
,Fablehaven,Brandon Mull,4.5,,9781416947202,,Juvenile Fiction,,384,paperback
,The Wizard of Oz,Lyman Frank Baum,3.0,,9781905716524,,Fiction,,188,paperback
,The Golden Compass,Philip Pullman,,,9780345413352,,Fiction,,372,paperback
,Throne of Glass,Sarah J. Maas,,,9781408832332,,Fiction,,419,paperback
,The Voyage of the Dawn Treader,Clive Staples Lewis,,,9780006716655,,Juvenile Fiction,,196,paperback
,Keeper of the Lost Cities,Shannon Messenger,4.5,,9781442445932,,Juvenile Nonfiction,,496,paperback
,Harry Potter and the Deathly Hallows,J. K. Rowling,4.5,,,,Juvenile Fiction,,792,paperback
,Bloodmarked,Tracy Deonn,,,9781534441637,,Young Adult Fiction,,576,paperback
,Charlie and the Great Glass Elevator,Roald Dahl,,,,,Juvenile Fiction,,180,paperback
,Graceling,Kristin Cashore,4.5,,9780152063962,,Juvenile Fiction,,492,paperback
,Bridge to Terabithia,Katherine Paterson,,,9780380432813,,Juvenile Fiction,,148,paperback
,Through the Looking-glass,Lewis Carroll,4.0,,,,Fantasy,,250,ebook
,The Borrowers,"Mary Norton, Sherwood Smith",,,9780152017798,,Juvenile Fiction,,196,paperback
,"The Hobbit, Or, There and Back Again",John Ronald Reuel Tolkien,,,9780261103344,,Fiction,,302,paperback
,The Silver Chair,Clive Staples Lewis,,,9780006716815,,Juvenile Fiction,,260,paperback
,The Tales of Beedle the Bard,J. K. Rowling,4.5,,,,Fiction,,136,paperback
,Peter and Wendy,James Matthew Barrie,,,,,Children,,306,paperback
,Crown of Midnight,Sarah J. Maas,3.5,,9781619630628,,Juvenile Fiction,,435,paperback
,"Moomin, Mymble and Little My",Tove Jansson,,,9780953522743,,Children's stories,,24,paperback
,The Handmaid's Tale,Margaret Atwood,,,9780099740919,,Fiction,,322,paperback
,The Wonderful Wizard of Oz,L. Frank Baum,,,,,Fantasy,,191,paperback
,The Lord of the Rings,John Ronald Reuel Tolkien,4.5,,,,Fiction,,1176,paperback
,Prince Caspian Movie Tie-in Edition (rack),C. S. Lewis,5.0,,9780061231063,,Fiction,,260,paperback
,The Subtle Knife,Philip Pullman,4.0,,9780375846724,,Fantasy,,368,paperback
,The Gremlins,Roald Dahl,5.0,,,,Comics & Graphic Novels,,64,paperback
,The Left Hand of Darkness,Ursula K. Le Guin,4.0,,,,Fiction,,332,paperback
,The Shadow Rising,Robert Jordan,4.0,,9780812513738,,Fiction,,1015,paperback
,James and the Giant Peach,Roald Dahl,,,9780140306231,,Juvenile Fiction,,116,paperback
