,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
300,,Doctor Dolittle,Hugh Lofting,,,9780397309375,,Medical,,246,paperback
301,,Anansi Boys,Neil Gaiman,4.0,,9780755331147,,Anansi (Legendary character),,457,paperback
302,,The Gunslinger,Stephen King,4.0,,9780451160522,,Adventure stories,,324,paperback
306,,The Tombs of Atuan,Ursula K. Le Guin,,,9780140306323,,Children's stories,,154,paperback
307,,The Magician's Nephew,Clive Staples Lewis,,,,,Adventure stories,,171,paperback
308,,The Road to Oz,L. Frank Baum,,,9780345334671,,Fiction,,276,paperback
309,,Fox In Socks,"Dr. Seuss, Random House Children's Books",,,9780394883236,,Children's stories,,61,paperback
310,,A Wrinkle in Time,Madeleine L'Engle,4.5,,9780440998051,,Brothers and sisters,,228,paperback
311,,The Black Cauldron,Lloyd Alexander,,,,,Juvenile Fiction,,228,paperback
312,,Mrs Frisby and the Rats of NIMH,Robert C. O'Brien,,,9780140307252,,Animals,,197,paperback
314,,Tom's Midnight Garden,Philippa Pearce,,,9780140308938,,Fiction,,228,paperback
315,,The House at Pooh Corner,Alan Alexander Milne,,,,,Juvenile Fiction,,202,paperback
316,,A Court of Mist and Fury,Sarah J. Maas,5.0,,9781408857885,,Fiction,,645,paperback
319,,The Foot Book,Dr. Seuss,,,,,Juvenile Fiction,,34,paperback
320,,Fictions in Science,Mauricio Suárez,,,9781135854713,,Philosophy,,494,ebook
321,,Time in Fiction,"Craig Bourne, Emily Caddick Bourne",,,9780199675319,,Literary Criticism,,280,paperback
322,,The Symbolic Species Evolved,"Theresa Schilhab, Frederik Stjernfelt, Terrence Deacon",,,9789400723368,,Science,,291,ebook
323,,Springer Handbook of Model-Based Science,"Lorenzo Magnani, Tommaso Bertolotti",,,9783319305264,,Technology & Engineering,,1179,ebook
324,,The Literary Imagination from Erasmus Darwin to H.G. Wells,Michael R. Page,,,9781409438700,,Biography & Autobiography,,233,paperback
325,,Nanovision,Colin Milburn,,,9780822391487,,Science,,293,ebook
326,,Nanoscale Science,M. Gail Jones,,,9781933531052,,Education,,172,paperback
327,,Empathy and Reading,Suzanne Keen,,,9781000595185,,Language Arts & Disciplines,,285,paperback
328,,The New Quantum Universe,"Tony Hey, Patrick Walters",,,9781139855532,,Science,,378,ebook
329,,Models and Idealizations in Science,"Alejandro Cassini, Juan Redmond",,,9783030658021,,Philosophy,,276,ebook
330,,Logos of Phenomenology and Phenomenology of The Logos. Book Three,Anna-Teresa Tymieniecka,,,9781402037177,,Nature,,588,paperback
331,,Tomorrow Is Too Late,Grace Maddrell,,,9781911648338,,Young Adult Nonfiction,,235,paperback
332,,Aesthetics and the Sciences of Mind,"Greg Currie, Matthew Kieran, Aaron Meskin, Jon Robson",,,9780191046094,,Philosophy,,442,ebook
333,,Hurricanes,Paul V. Kislow,1.0,,9781594547270,,Nature,,280,paperback
334,,Reading Science,"J. R. Martin, Robert Veel",,,9780415167895,,Language Arts & Disciplines,,384,paperback
335,,The Philosophy of 'As If',Hans Vaihinger,,,9781000385885,,Business & Economics,,354,paperback
336,,Space Exploration and Humanity,American Astronautical Society,,,9781851095193,,Science,,1557,ebook
337,,Surveying the American Tropics,"Maria Cristina Fumagalli, Peter Hulme, Owen Robinson, Lesley Wylie",,,9781846318900,,Literary Criticism,,377,paperback
338,,Fiction in French - Fiction in Soviet,British Library,,,9783111576695,,Reference,,464,ebook
339,,"Science, Culture and Society",Mark Erickson,,,9780745629759,,Science,,254,paperback
340,,Conservation of Renewable Natural Resources,"Raphael Zon, William S. Cooper",,,9781512819519,,Nature,,208,paperback
341,,Astrofuturism,De Witt Douglas Kilgore,5.0,,9780812218473,,Literary Criticism,,308,paperback
342,,The Nobel Prize,Burton Feldman,,,9781559705929,,History,,520,paperback
343,,The Secret Life of Literature,Lisa Zunshine,,,9780262046336,,Science,,337,paperback
344,,Handbook of the American Short Story,"Erik Redling, Oliver Scheiding",,,9783110585322,,Literary Criticism,,513,ebook
345,,Science in the Twentieth Century,"John Krige, Dominique Pestre",,,9781134406937,,History,,986,ebook
346,,Companion to Science in the Twentieth Century,"John Krige, Dominique Pestre",,,9780415286060,,History,,988,paperback
347,,The Perversity of Things,Hugo Gernsback,,,9781452953144,,Literary Criticism,,745,paperback
348,,Companion Encyclopedia of Science in the Twentieth Century,"John Krige, Dominique Pestre",,,9781136483325,,History,,979,paperback
349,,Cultivating Sustainability in Language and Literature Pedagogy,Roman Bartosch,,,9781000369762,,Education,,159,ebook
350,,Human Technological Enhancement and Theological Anthropology,Victoria Lorrimar,,,9781009089814,,Religion,,357,ebook
