,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Format_and_Page,Genres
468,469,Like Water for Chocolate,Laura Esquivel,3.95,382296,Not found,Not found,"222 pages, Paperback","Genres
Fiction
Magical Realism
Romance
Historical Fiction
Classics
Fantasy
Spanish Literature"
469,470,"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,3.98,332266,9781416989431,1416989439,"427 pages, Hardcover","Genres
Young Adult
Fantasy
Romance
Angels
Paranormal
Paranormal Romance
Fiction"
470,471,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,4.34,373140,Not found,B0DSY9RH6K,"947 pages, Paperback","Genres
Historical Fiction
Romance
Fantasy
Fiction
Time Travel
Historical
Historical Romance"
471,472,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.36,1452603,9781619630628,1619630621,"420 pages, Hardcover","Genres
Young Adult
Romance
Fiction
Magic
Romantasy
Young Adult Fantasy
High Fantasy"
472,473,Midnight in the Garden of Good and Evil,John Berendt,3.92,284397,9780679751526,0679751521,"386 pages, Paperback","Genres
Nonfiction
True Crime
Mystery
Crime
History
Classics
Audiobook"
473,474,A Streetcar Named Desire,Tennessee Williams,3.98,327489,9780822210894,0822210894,"107 pages, Paperback","Genres
Plays
Classics
Fiction
Drama
School
Read For School
Literature"
474,475,My Ántonia,Willa Cather,3.84,142916,9781583485095,1583485090,"219 pages, Paperback","Genres
Fiction
Historical Fiction
Classics
Literature
School
American
Historical"
475,476,"The One (The Selection, #3)",Kiera Cass,4.14,741238,9780062059994,0062059998,"323 pages, Hardcover","Genres
Romance
Young Adult
Dystopia
Fantasy
Fiction
Audiobook
Science Fiction"
476,477,The Invisible Life of Addie LaRue,Victoria E. Schwab,4.18,1308636,9780765387561,0765387565,"448 pages, Hardcover","Genres
Fantasy
Fiction
Romance
Historical Fiction
Historical
Magical Realism
LGBT"
477,478,Local Woman Missing,Mary Kubica,4.13,629481,9780778311669,077831166X,"356 pages, Paperback","Genres
Thriller
Mystery
Mystery Thriller
Audiobook
Fiction
Suspense
Crime"
